Data_Collection_Start_Date,Data_Collection_End_Date,Data_Collection_Midpoint_date,Data_Collection_Midpoint_MMWR_Year,Data_Collection_Midpoint_MMWR_Week,Data_Collection_Midpoint_MMWR_Day,Data_Collection_Midpoint_MMWRWeek_Display_Order,Month_Abbrev,Month_Sort_Order,Data_Source,Suppressed,Race_Ethnicity,Age_Group,Point_Estimate,CI_HalfWidth,CI_Lower,CI_Upper,Sample_Size
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"Other, Non-Hispanic",18-49,52.6,30.6,22,22,49
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,true,"Other, Non-Hispanic",50-64,,,,,<30
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,true,"Other, Non-Hispanic",65+,,,,,<30
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,Hispanic,All Adults (18+),45.2,10.5,34.7,34.7,152
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,Hispanic,18-49,35,12.5,22.5,22.5,100
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,Hispanic,50-64,55.4,20.3,35.1,35.1,35
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,true,Hispanic,65+,,,,,<30
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"Black, Non-Hispanic",All Adults (18+),43.8,11.5,32.3,32.3,131
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"Black, Non-Hispanic",18-49,32.2,15.1,17.1,17.1,60
12/17/2020 12:00:00 AM,12/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020,51,7,12,Dec,1,NORC Amerispeak,false,"Black, Non-Hispanic",50-64,59.8,18.7,41.1,41.1,44
