Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,M,All Ages,33453
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,M,Unknown,4
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,0 years,386
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,1-4 years,79
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,10-14 years,74
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,15-19 years,193
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,20-24 years,378
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,25-29 years,565
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,30-34 years,611
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,35-39 years,740
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,40-44 years,902
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,45-49 years,1429
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,5-9 years,59
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,50-54 years,2348
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,55-59 years,3715
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,60-64 years,4839
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,65-69 years,5734
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,70-74 years,6837
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,75-79 years,7428
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,80-84 years,8564
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,85 years and over,22615
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,All Ages,67498
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,All Sexes,Unknown,2
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,0 years,166
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,1-4 years,34
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,10-14 years,32
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,15-19 years,60
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,20-24 years,90
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,25-29 years,174
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,30-34 years,228
03/21/2021,01/07/2018,01/13/2018,2018,2,01/13/2018,F,35-39 years,267
