Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,45-49 years,504
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,5-9 years,13
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,50-54 years,671
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,55-59 years,1163
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,60-64 years,1643
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,65-69 years,1984
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,70-74 years,2439
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,75-79 years,2894
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,80-84 years,3398
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,85 years and over,10187
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,All Ages,26163
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,F,Unknown,0
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,0 years,224
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,1-4 years,41
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,10-14 years,35
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,15-19 years,160
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,20-24 years,292
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,25-29 years,375
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,30-34 years,367
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,35-39 years,462
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,40-44 years,486
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,45-49 years,722
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,5-9 years,26
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,50-54 years,1099
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,55-59 years,1861
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,60-64 years,2488
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,65-69 years,2792
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,70-74 years,3062
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,75-79 years,3358
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,80-84 years,3286
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,85 years and over,6264
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,All Ages,27402
03/21/2021,11/04/2018,11/10/2018,2018,45,11/10/2018,M,Unknown,2
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,0 years,416
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,1-4 years,74
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,10-14 years,53
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,15-19 years,193
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,20-24 years,341
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,25-29 years,539
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,30-34 years,587
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,35-39 years,713
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,40-44 years,811
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,45-49 years,1163
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,5-9 years,46
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,50-54 years,1888
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,55-59 years,3107
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,60-64 years,4212
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,65-69 years,4881
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,70-74 years,5669
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,75-79 years,6280
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,80-84 years,6871
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,85 years and over,16857
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,All Ages,54703
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,All Sexes,Unknown,2
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,0 years,186
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,1-4 years,30
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,10-14 years,17
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,15-19 years,57
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,20-24 years,99
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,25-29 years,155
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,30-34 years,200
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,35-39 years,248
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,40-44 years,318
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,45-49 years,493
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,5-9 years,30
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,50-54 years,689
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,55-59 years,1198
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,60-64 years,1580
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,65-69 years,1977
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,70-74 years,2461
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,75-79 years,2949
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,80-84 years,3518
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,85 years and over,10301
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,All Ages,26506
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,F,Unknown,0
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,0 years,230
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,1-4 years,44
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,10-14 years,36
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,15-19 years,136
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,20-24 years,242
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,25-29 years,384
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,30-34 years,387
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,35-39 years,465
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,40-44 years,493
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,45-49 years,670
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,5-9 years,16
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,50-54 years,1199
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,55-59 years,1909
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,60-64 years,2632
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,65-69 years,2904
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,70-74 years,3208
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,75-79 years,3331
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,80-84 years,3353
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,85 years and over,6556
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,All Ages,28197
03/21/2021,11/11/2018,11/17/2018,2018,46,11/17/2018,M,Unknown,2
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,0 years,382
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,1-4 years,67
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,10-14 years,56
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,15-19 years,185
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,20-24 years,379
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,25-29 years,518
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,30-34 years,588
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,35-39 years,715
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,40-44 years,794
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,45-49 years,1200
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,5-9 years,39
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,50-54 years,1887
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,55-59 years,3091
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,60-64 years,4101
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,65-69 years,4802
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,70-74 years,5758
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,75-79 years,6184
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,80-84 years,6923
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,85 years and over,17179
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,All Ages,54850
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,All Sexes,Unknown,2
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,0 years,165
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,1-4 years,31
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,10-14 years,18
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,15-19 years,54
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,20-24 years,101
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,25-29 years,152
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,30-34 years,180
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,35-39 years,250
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,40-44 years,304
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,45-49 years,484
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,5-9 years,11
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,50-54 years,785
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,55-59 years,1195
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,60-64 years,1650
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,65-69 years,1990
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,70-74 years,2491
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,75-79 years,2922
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,80-84 years,3541
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,85 years and over,10602
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,All Ages,26926
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,F,Unknown,0
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,0 years,217
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,1-4 years,36
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,10-14 years,38
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,15-19 years,131
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,20-24 years,278
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,25-29 years,366
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,30-34 years,408
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,35-39 years,465
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,40-44 years,490
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,45-49 years,716
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,5-9 years,28
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,50-54 years,1102
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,55-59 years,1896
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,60-64 years,2451
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,65-69 years,2812
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,70-74 years,3267
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,75-79 years,3262
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,80-84 years,3382
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,85 years and over,6577
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,All Ages,27924
03/21/2021,11/18/2018,11/24/2018,2018,47,11/24/2018,M,Unknown,2
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,0 years,372
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,1-4 years,74
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,10-14 years,61
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,15-19 years,199
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,20-24 years,316
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,25-29 years,458
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,30-34 years,550
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,35-39 years,671
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,40-44 years,851
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,45-49 years,1195
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,5-9 years,37
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,50-54 years,1865
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,55-59 years,3007
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,60-64 years,4063
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,65-69 years,4960
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,70-74 years,5818
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,75-79 years,6501
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,80-84 years,6836
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,85 years and over,17229
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,All Ages,55066
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,All Sexes,Unknown,3
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,0 years,160
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,1-4 years,33
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,10-14 years,29
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,15-19 years,60
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,20-24 years,86
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,25-29 years,138
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,30-34 years,171
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,35-39 years,228
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,40-44 years,308
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,45-49 years,457
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,5-9 years,15
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,50-54 years,705
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,55-59 years,1202
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,60-64 years,1623
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,65-69 years,1993
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,70-74 years,2605
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,75-79 years,3088
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,80-84 years,3340
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,85 years and over,10553
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,All Ages,26795
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,F,Unknown,1
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,0 years,212
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,1-4 years,41
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,10-14 years,32
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,15-19 years,139
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,20-24 years,230
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,25-29 years,320
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,30-34 years,379
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,35-39 years,443
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,40-44 years,543
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,45-49 years,738
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,5-9 years,22
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,50-54 years,1160
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,55-59 years,1805
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,60-64 years,2440
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,65-69 years,2967
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,70-74 years,3213
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,75-79 years,3413
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,80-84 years,3496
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,85 years and over,6676
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,All Ages,28271
03/21/2021,11/25/2018,12/01/2018,2018,48,12/01/2018,M,Unknown,2
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,0 years,393
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,1-4 years,62
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,10-14 years,63
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,15-19 years,171
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,20-24 years,332
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,25-29 years,480
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,30-34 years,586
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,35-39 years,765
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,40-44 years,824
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,45-49 years,1291
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,5-9 years,43
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,50-54 years,1902
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,55-59 years,3093
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,60-64 years,4233
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,65-69 years,4984
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,70-74 years,5806
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,75-79 years,6408
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,80-84 years,7066
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,85 years and over,17467
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,All Ages,55972
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,All Sexes,Unknown,3
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,0 years,158
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,1-4 years,24
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,10-14 years,30
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,15-19 years,48
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,20-24 years,89
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,25-29 years,147
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,30-34 years,194
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,35-39 years,262
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,40-44 years,285
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,45-49 years,523
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,5-9 years,22
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,50-54 years,733
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,55-59 years,1185
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,60-64 years,1663
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,65-69 years,2012
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,70-74 years,2506
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,75-79 years,2991
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,80-84 years,3566
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,85 years and over,10633
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,All Ages,27071
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,F,Unknown,0
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,0 years,235
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,1-4 years,38
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,10-14 years,33
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,15-19 years,123
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,20-24 years,243
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,25-29 years,333
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,30-34 years,392
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,35-39 years,503
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,40-44 years,539
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,45-49 years,768
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,5-9 years,21
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,50-54 years,1169
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,55-59 years,1908
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,60-64 years,2570
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,65-69 years,2972
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,70-74 years,3300
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,75-79 years,3417
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,80-84 years,3500
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,85 years and over,6834
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,All Ages,28901
03/21/2021,12/02/2018,12/08/2018,2018,49,12/08/2018,M,Unknown,3
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,0 years,389
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,1-4 years,63
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,10-14 years,59
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,15-19 years,202
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,20-24 years,363
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,25-29 years,496
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,30-34 years,572
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,35-39 years,713
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,40-44 years,794
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,45-49 years,1303
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,5-9 years,49
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,50-54 years,1955
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,55-59 years,3171
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,60-64 years,4192
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,65-69 years,4914
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,70-74 years,5805
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,75-79 years,6386
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,80-84 years,7107
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,85 years and over,17857
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,All Ages,56394
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,All Sexes,Unknown,4
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,F,0 years,171
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,F,1-4 years,24
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,F,10-14 years,27
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,F,15-19 years,53
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,F,20-24 years,102
03/21/2021,12/09/2018,12/15/2018,2018,50,12/15/2018,F,25-29 years,148
