Data As Of,Start Date,End Date,Year,Sex,Age Group,Total Deaths
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,50-54 years,107931
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,55-59 years,162146
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,60-64 years,204299
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,65-69 years,246655
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,70-74 years,265425
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,75-79 years,294895
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,80-84 years,342021
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,85 years and over,854462
03/21/2021,01/01/2016,12/31/2016,2016,All Sexes,Unknown,137
03/21/2021,01/01/2016,12/31/2016,2016,F,All Ages,1344016
03/21/2021,01/01/2016,12/31/2016,2016,F,0 years,10294
03/21/2021,01/01/2016,12/31/2016,2016,F,1-4 years,1789
03/21/2021,01/01/2016,12/31/2016,2016,F,5-9 years,1113
03/21/2021,01/01/2016,12/31/2016,2016,F,10-14 years,1249
03/21/2021,01/01/2016,12/31/2016,2016,F,15-19 years,3099
03/21/2021,01/01/2016,12/31/2016,2016,F,20-24 years,5463
03/21/2021,01/01/2016,12/31/2016,2016,F,25-29 years,7542
03/21/2021,01/01/2016,12/31/2016,2016,F,30-34 years,9817
03/21/2021,01/01/2016,12/31/2016,2016,F,35-39 years,12468
03/21/2021,01/01/2016,12/31/2016,2016,F,40-44 years,16109
03/21/2021,01/01/2016,12/31/2016,2016,F,45-49 years,25816
03/21/2021,01/01/2016,12/31/2016,2016,F,50-54 years,42614
03/21/2021,01/01/2016,12/31/2016,2016,F,55-59 years,63496
03/21/2021,01/01/2016,12/31/2016,2016,F,60-64 years,80565
03/21/2021,01/01/2016,12/31/2016,2016,F,65-69 years,102266
03/21/2021,01/01/2016,12/31/2016,2016,F,70-74 years,117072
03/21/2021,01/01/2016,12/31/2016,2016,F,75-79 years,138044
03/21/2021,01/01/2016,12/31/2016,2016,F,80-84 years,174053
03/21/2021,01/01/2016,12/31/2016,2016,F,85 years and over,531107
03/21/2021,01/01/2016,12/31/2016,2016,F,Unknown,40
03/21/2021,01/01/2016,12/31/2016,2016,M,All Ages,1400232
03/21/2021,01/01/2016,12/31/2016,2016,M,0 years,12867
03/21/2021,01/01/2016,12/31/2016,2016,M,1-4 years,2256
03/21/2021,01/01/2016,12/31/2016,2016,M,5-9 years,1377
03/21/2021,01/01/2016,12/31/2016,2016,M,10-14 years,1764
03/21/2021,01/01/2016,12/31/2016,2016,M,15-19 years,7713
03/21/2021,01/01/2016,12/31/2016,2016,M,20-24 years,16300
03/21/2021,01/01/2016,12/31/2016,2016,M,25-29 years,19511
03/21/2021,01/01/2016,12/31/2016,2016,M,30-34 years,20746
03/21/2021,01/01/2016,12/31/2016,2016,M,35-39 years,22809
03/21/2021,01/01/2016,12/31/2016,2016,M,40-44 years,26406
03/21/2021,01/01/2016,12/31/2016,2016,M,45-49 years,39769
03/21/2021,01/01/2016,12/31/2016,2016,M,50-54 years,65317
03/21/2021,01/01/2016,12/31/2016,2016,M,55-59 years,98650
03/21/2021,01/01/2016,12/31/2016,2016,M,60-64 years,123734
03/21/2021,01/01/2016,12/31/2016,2016,M,65-69 years,144389
03/21/2021,01/01/2016,12/31/2016,2016,M,70-74 years,148353
03/21/2021,01/01/2016,12/31/2016,2016,M,75-79 years,156851
03/21/2021,01/01/2016,12/31/2016,2016,M,80-84 years,167968
03/21/2021,01/01/2016,12/31/2016,2016,M,85 years and over,323355
03/21/2021,01/01/2016,12/31/2016,2016,M,Unknown,97
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,All Ages,2813503
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,0 years,22335
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,1-4 years,3880
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,5-9 years,2354
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,10-14 years,3217
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,15-19 years,10886
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,20-24 years,21139
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,25-29 years,28276
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,30-34 years,31939
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,35-39 years,36901
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,40-44 years,42895
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,45-49 years,65698
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,50-54 years,104444
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,55-59 years,162098
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,60-64 years,209908
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,65-69 years,248087
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,70-74 years,283523
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,75-79 years,307498
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,80-84 years,350261
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,85 years and over,878035
03/21/2021,01/01/2017,12/31/2017,2017,All Sexes,Unknown,129
03/21/2021,01/01/2017,12/31/2017,2017,F,All Ages,1374392
03/21/2021,01/01/2017,12/31/2017,2017,F,0 years,9867
03/21/2021,01/01/2017,12/31/2017,2017,F,1-4 years,1648
03/21/2021,01/01/2017,12/31/2017,2017,F,5-9 years,1055
03/21/2021,01/01/2017,12/31/2017,2017,F,10-14 years,1247
03/21/2021,01/01/2017,12/31/2017,2017,F,15-19 years,3037
03/21/2021,01/01/2017,12/31/2017,2017,F,20-24 years,5485
03/21/2021,01/01/2017,12/31/2017,2017,F,25-29 years,7891
03/21/2021,01/01/2017,12/31/2017,2017,F,30-34 years,10175
03/21/2021,01/01/2017,12/31/2017,2017,F,35-39 years,12796
03/21/2021,01/01/2017,12/31/2017,2017,F,40-44 years,16208
03/21/2021,01/01/2017,12/31/2017,2017,F,45-49 years,25475
03/21/2021,01/01/2017,12/31/2017,2017,F,50-54 years,40863
03/21/2021,01/01/2017,12/31/2017,2017,F,55-59 years,63711
03/21/2021,01/01/2017,12/31/2017,2017,F,60-64 years,82960
03/21/2021,01/01/2017,12/31/2017,2017,F,65-69 years,102829
03/21/2021,01/01/2017,12/31/2017,2017,F,70-74 years,124850
03/21/2021,01/01/2017,12/31/2017,2017,F,75-79 years,143993
03/21/2021,01/01/2017,12/31/2017,2017,F,80-84 years,177095
03/21/2021,01/01/2017,12/31/2017,2017,F,85 years and over,543169
03/21/2021,01/01/2017,12/31/2017,2017,F,Unknown,38
03/21/2021,01/01/2017,12/31/2017,2017,M,All Ages,1439111
03/21/2021,01/01/2017,12/31/2017,2017,M,0 years,12468
03/21/2021,01/01/2017,12/31/2017,2017,M,1-4 years,2232
03/21/2021,01/01/2017,12/31/2017,2017,M,5-9 years,1299
03/21/2021,01/01/2017,12/31/2017,2017,M,10-14 years,1970
03/21/2021,01/01/2017,12/31/2017,2017,M,15-19 years,7849
03/21/2021,01/01/2017,12/31/2017,2017,M,20-24 years,15654
03/21/2021,01/01/2017,12/31/2017,2017,M,25-29 years,20385
03/21/2021,01/01/2017,12/31/2017,2017,M,30-34 years,21764
03/21/2021,01/01/2017,12/31/2017,2017,M,35-39 years,24105
03/21/2021,01/01/2017,12/31/2017,2017,M,40-44 years,26687
03/21/2021,01/01/2017,12/31/2017,2017,M,45-49 years,40223
03/21/2021,01/01/2017,12/31/2017,2017,M,50-54 years,63581
03/21/2021,01/01/2017,12/31/2017,2017,M,55-59 years,98387
03/21/2021,01/01/2017,12/31/2017,2017,M,60-64 years,126948
03/21/2021,01/01/2017,12/31/2017,2017,M,65-69 years,145258
03/21/2021,01/01/2017,12/31/2017,2017,M,70-74 years,158673
03/21/2021,01/01/2017,12/31/2017,2017,M,75-79 years,163505
03/21/2021,01/01/2017,12/31/2017,2017,M,80-84 years,173166
03/21/2021,01/01/2017,12/31/2017,2017,M,85 years and over,334866
03/21/2021,01/01/2017,12/31/2017,2017,M,Unknown,91
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,All Ages,2839205
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,0 years,21467
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,1-4 years,3830
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,5-9 years,2330
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,10-14 years,3120
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,15-19 years,10380
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,20-24 years,19774
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,25-29 years,27461
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,30-34 years,31383
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,35-39 years,37617
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,40-44 years,42763
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,45-49 years,64873
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,50-54 years,99964
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,55-59 years,160963
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,60-64 years,213873
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,65-69 years,251246
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,70-74 years,292532
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,75-79 years,321745
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,80-84 years,353460
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,85 years and over,880280
03/21/2021,01/01/2018,12/31/2018,2018,All Sexes,Unknown,144
03/21/2021,01/01/2018,12/31/2018,2018,F,All Ages,1380736
03/21/2021,01/01/2018,12/31/2018,2018,F,0 years,9399
03/21/2021,01/01/2018,12/31/2018,2018,F,1-4 years,1587
03/21/2021,01/01/2018,12/31/2018,2018,F,5-9 years,1044
03/21/2021,01/01/2018,12/31/2018,2018,F,10-14 years,1325
03/21/2021,01/01/2018,12/31/2018,2018,F,15-19 years,3000
03/21/2021,01/01/2018,12/31/2018,2018,F,20-24 years,5146
03/21/2021,01/01/2018,12/31/2018,2018,F,25-29 years,7832
03/21/2021,01/01/2018,12/31/2018,2018,F,30-34 years,10148
03/21/2021,01/01/2018,12/31/2018,2018,F,35-39 years,13094
03/21/2021,01/01/2018,12/31/2018,2018,F,40-44 years,15910
03/21/2021,01/01/2018,12/31/2018,2018,F,45-49 years,24904
03/21/2021,01/01/2018,12/31/2018,2018,F,50-54 years,38903
03/21/2021,01/01/2018,12/31/2018,2018,F,55-59 years,62702
03/21/2021,01/01/2018,12/31/2018,2018,F,60-64 years,83861
03/21/2021,01/01/2018,12/31/2018,2018,F,65-69 years,102698
03/21/2021,01/01/2018,12/31/2018,2018,F,70-74 years,128169
03/21/2021,01/01/2018,12/31/2018,2018,F,75-79 years,149773
03/21/2021,01/01/2018,12/31/2018,2018,F,80-84 years,178244
03/21/2021,01/01/2018,12/31/2018,2018,F,85 years and over,542962
03/21/2021,01/01/2018,12/31/2018,2018,F,Unknown,35
03/21/2021,01/01/2018,12/31/2018,2018,M,All Ages,1458469
03/21/2021,01/01/2018,12/31/2018,2018,M,0 years,12068
03/21/2021,01/01/2018,12/31/2018,2018,M,1-4 years,2243
03/21/2021,01/01/2018,12/31/2018,2018,M,5-9 years,1286
03/21/2021,01/01/2018,12/31/2018,2018,M,10-14 years,1795
03/21/2021,01/01/2018,12/31/2018,2018,M,15-19 years,7380
03/21/2021,01/01/2018,12/31/2018,2018,M,20-24 years,14628
03/21/2021,01/01/2018,12/31/2018,2018,M,25-29 years,19629
03/21/2021,01/01/2018,12/31/2018,2018,M,30-34 years,21235
03/21/2021,01/01/2018,12/31/2018,2018,M,35-39 years,24523
03/21/2021,01/01/2018,12/31/2018,2018,M,40-44 years,26853
03/21/2021,01/01/2018,12/31/2018,2018,M,45-49 years,39969
03/21/2021,01/01/2018,12/31/2018,2018,M,50-54 years,61061
03/21/2021,01/01/2018,12/31/2018,2018,M,55-59 years,98261
03/21/2021,01/01/2018,12/31/2018,2018,M,60-64 years,130012
03/21/2021,01/01/2018,12/31/2018,2018,M,65-69 years,148548
03/21/2021,01/01/2018,12/31/2018,2018,M,70-74 years,164363
03/21/2021,01/01/2018,12/31/2018,2018,M,75-79 years,171972
03/21/2021,01/01/2018,12/31/2018,2018,M,80-84 years,175216
03/21/2021,01/01/2018,12/31/2018,2018,M,85 years and over,337318
03/21/2021,01/01/2018,12/31/2018,2018,M,Unknown,109
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,All Ages,2854838
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,0 years,20921
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,1-4 years,3676
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,5-9 years,2333
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,10-14 years,3164
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,15-19 years,10258
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,20-24 years,19513
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,25-29 years,26969
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,30-34 years,32209
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,35-39 years,38638
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,40-44 years,44348
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,45-49 years,63739
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,50-54 years,96654
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,55-59 years,158453
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,60-64 years,216484
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,65-69 years,254412
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,70-74 years,301147
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,75-79 years,329493
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,80-84 years,358534
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,85 years and over,873746
03/21/2021,01/01/2019,12/31/2019,2019,All Sexes,Unknown,147
03/21/2021,01/01/2019,12/31/2019,2019,F,All Ages,1381015
03/21/2021,01/01/2019,12/31/2019,2019,F,0 years,9247
03/21/2021,01/01/2019,12/31/2019,2019,F,1-4 years,1635
03/21/2021,01/01/2019,12/31/2019,2019,F,5-9 years,1043
03/21/2021,01/01/2019,12/31/2019,2019,F,10-14 years,1268
03/21/2021,01/01/2019,12/31/2019,2019,F,15-19 years,2897
03/21/2021,01/01/2019,12/31/2019,2019,F,20-24 years,5126
03/21/2021,01/01/2019,12/31/2019,2019,F,25-29 years,7527
03/21/2021,01/01/2019,12/31/2019,2019,F,30-34 years,10300
03/21/2021,01/01/2019,12/31/2019,2019,F,35-39 years,13397
03/21/2021,01/01/2019,12/31/2019,2019,F,40-44 years,16153
03/21/2021,01/01/2019,12/31/2019,2019,F,45-49 years,24381
