Date,Location,Distributed_Bivalent,Dist_Bivalent_MOD,Dist_Bivalent_PFR,Distributed_Novavax
08/09/2023,WI,3057800,966440,2091360,23600
08/09/2023,GU,33810,10100,23710,900
08/09/2023,DS2,0,0,0,0
08/09/2023,NE,859240,219840,639400,8300
08/09/2023,PR,855340,285940,569400,2100
08/09/2023,DC,532560,165320,367240,4000
08/09/2023,NY,8840420,2729620,6110800,46200
08/09/2023,OK,1283860,451080,832780,35200
08/09/2023,WY,171580,57780,113800,4900
08/09/2023,VA,4425980,1385240,3040740,38500
08/09/2023,TX,10495250,3388620,7106630,127000
08/09/2023,AZ,3185250,1014960,2170290,24500
07/12/2023,PR,824430,277020,547410,2100
07/12/2023,PA,6642000,2099340,4542660,96400
07/12/2023,WA,4556520,1375480,3181040,42300
07/12/2023,BP2,34560,12300,22260,0
07/12/2023,MT,409120,132160,276960,7700
07/12/2023,ID,684480,231960,452520,17700
07/12/2023,MN,3455830,922320,2533510,20100
07/12/2023,NM,1038960,388420,650540,8500
07/12/2023,ND,281840,62940,218900,2800
07/12/2023,WY,163490,56220,107270,4800
07/12/2023,WI,2896510,932400,1964110,23300
07/12/2023,GA,3584390,1145600,2438790,45400
07/12/2023,NC,4539060,1519480,3019580,51500
07/12/2023,KS,1255960,356280,899680,23200
07/12/2023,SC,1839260,681380,1157880,49400
07/12/2023,PW,3490,1400,2090,0
07/12/2023,ME,937660,281980,655680,8100
07/12/2023,MP,13550,1600,11950,200
07/12/2023,MO,2253380,736860,1516520,23300
07/12/2023,NJ,4205220,1354560,2850660,48500
07/12/2023,KY,1719530,547540,1171990,15400
07/12/2023,CA,17851570,5970300,11881270,181200
07/12/2023,IN,2988940,846140,2142800,13600
07/12/2023,AR,1064380,384800,679580,31100
07/12/2023,VA,4183550,1314080,2869470,37000
07/12/2023,VI,10280,3800,6480,300
07/12/2023,OK,1216850,434060,782790,34600
07/12/2023,NH,926850,187640,739210,5200
07/12/2023,NV,1036720,297880,738840,8800
07/12/2023,CO,3019280,823060,2196220,49100
07/12/2023,RI,570060,222160,347900,4800
07/12/2023,VA2,1302280,678100,624180,12100
07/12/2023,IL,6573150,1957840,4615310,35400
07/12/2023,CT,1854070,710600,1143470,10400
07/12/2023,LA,1048040,356800,691240,10100
07/12/2023,IA,1547650,466300,1081350,23300
07/12/2023,US,144182870,46079720,98103150,1475800
07/12/2023,FM,35640,700,34940,0
07/12/2023,HI,736250,299280,436970,5300
07/12/2023,MI,4620730,1589960,3030770,36600
07/12/2023,MH,20600,5900,14700,1100
07/12/2023,DD2,589260,155460,433800,39700
07/12/2023,OH,4574860,1305960,3268900,32700
07/12/2023,MA,4270170,1589240,2680930,15800
07/12/2023,SD,438460,121360,317100,6000
07/12/2023,OR,2380140,608080,1772060,26500
07/12/2023,AZ,2946750,948420,1998330,23800
07/12/2023,GU,32010,9520,22490,900
07/12/2023,WV,725450,275340,450110,11600
07/12/2023,MD,3770720,1119540,2651180,44100
07/12/2023,AS,2110,500,1610,0
07/12/2023,DE,570130,180480,389650,5800
07/12/2023,FL,7629010,2705160,4923850,70400
07/12/2023,NY,8452270,2624340,5827930,45500
07/12/2023,VT,479370,126600,352770,3600
07/12/2023,IH2,573050,189060,383990,9000
07/12/2023,TN,2371150,741300,1629850,22700
07/12/2023,TX,9803310,3224200,6579110,123200
07/12/2023,MS,773720,261140,512580,9100
07/12/2023,AK,311590,100060,211530,6800
07/12/2023,UT,1161860,248400,913460,10200
07/12/2023,DS2,0,0,0,0
07/12/2023,NE,832710,213640,619070,8300
07/12/2023,AL,1392620,518380,874240,25300
07/12/2023,DC,506920,160020,346900,3700
06/14/2023,MS,750370,251760,498610,9100
06/14/2023,AZ,2860460,916840,1943620,23300
06/14/2023,CA,17337260,5790360,11546900,180500
06/14/2023,OK,1181470,421300,760170,34400
06/14/2023,WV,707280,265780,441500,11500
06/14/2023,MA,4158660,1554680,2603980,15800
06/14/2023,NV,1009410,290120,719290,8800
06/14/2023,OH,4447270,1265280,3181990,32700
06/14/2023,LA,1020580,346700,673880,10100
06/14/2023,MO,2193310,714320,1478990,23200
06/14/2023,IL,6403070,1903700,4499370,35300
06/14/2023,KY,1661210,528300,1132910,15400
06/14/2023,NC,4394720,1458760,2935960,51300
06/14/2023,ID,659010,223480,435530,17600
06/14/2023,MI,4476650,1539560,2937090,36400
06/14/2023,KS,1217780,345040,872740,23100
06/14/2023,CO,2943330,803680,2139650,48600
06/14/2023,VA2,1276960,665200,611760,12100
06/14/2023,TX,9457920,3117620,6340300,122200
06/14/2023,IN,2877960,812860,2065100,13500
06/14/2023,NM,1007860,374400,633460,8500
06/14/2023,GA,3475180,1101600,2373580,45200
06/14/2023,NE,807440,205440,602000,8100
06/14/2023,NJ,4103740,1316540,2787200,47400
06/14/2023,NY,8246350,2556380,5689970,44700
06/14/2023,FL,7383510,2582680,4800830,68500
06/14/2023,PA,6437070,2025360,4411710,93100
06/14/2023,RI,546390,214740,331650,4700
06/14/2023,DS2,0,0,0,0
06/14/2023,NH,901370,180540,720830,5000
