Date,Demographic_category,Census,Series_Complete,Series_Complete_Pop_Pct,First_Booster_Eligible,First_Booster_Eligible_Pop_Pct,First_Booster,First_Booster_Pop_Pct,Second_Booster_Eligible,Second_Booster_Eligible_Pop_Pct,Second_Booster,Second_Booster_Pop_Pct
08/17/2022 12:00:00 AM,Ages_5-11,28744900,8732375,30.4,7857230,27.3,1104328,3.8,,,,
08/10/2022 12:00:00 AM,Ages_18-49,139763772,96627916,69.1,95071498,68,38098193,27.3,,,,
08/10/2022 12:00:00 AM,Ages_5+,312265041,223233225,71.5,217849547,69.8,107752364,34.5,,,,
08/10/2022 12:00:00 AM,Ages_65+,54792026,50357418,91.9,48867208,89.2,35482170,64.8,33710893,61.5,14135707,25.8
08/10/2022 12:00:00 AM,Ages_5-11,28744900,8695079,30.2,7757606,27,1027831,3.6,,,,
08/10/2022 12:00:00 AM,Ages_50-64,63659835,52313259,82.2,51347527,80.7,28893335,45.4,27396733,43,6928950,10.9
08/10/2022 12:00:00 AM,Age_unknown,,2218,,,,0,,,,0,
08/10/2022 12:00:00 AM,Ages_12-17,25304508,15239553,60.2,14805708,58.5,4250835,16.8,,,,
08/03/2022 12:00:00 AM,Ages_5-11,28744900,8660279,30.1,7641858,26.6,948044,3.3,,,,
08/03/2022 12:00:00 AM,Ages_5+,312265041,222865944,71.4,217278736,69.6,107370674,34.4,,,,
08/03/2022 12:00:00 AM,Age_unknown,,2196,,,,0,,,,0,
08/03/2022 12:00:00 AM,Ages_18-49,139763772,96400390,69,94744331,67.8,37973823,27.2,,,,
08/03/2022 12:00:00 AM,Ages_50-64,63659835,52269615,82.1,51296589,80.6,28828609,45.3,27251493,42.8,6728008,10.6
08/03/2022 12:00:00 AM,Ages_12-17,25304508,15216097,60.1,14752128,58.3,4198982,16.6,,,,
08/03/2022 12:00:00 AM,Ages_65+,54792026,50319563,91.8,48843830,89.1,35421216,64.6,33483929,61.1,13840907,25.3
07/27/2022 12:00:00 AM,Ages_5-11,28744900,8713129,30.3,7658889,26.6,871626,3,,,,
07/27/2022 12:00:00 AM,Ages_5+,312265041,223117055,71.5,217458189,69.6,107803279,34.5,,,,
07/27/2022 12:00:00 AM,Ages_65+,54792026,50361456,91.9,48913209,89.3,35550859,64.9,33402246,61,13457288,24.6
07/27/2022 12:00:00 AM,Ages_50-64,63659835,52305529,82.2,51341820,80.7,28940011,45.5,27205346,42.7,6478625,10.2
07/27/2022 12:00:00 AM,Ages_12-17,25304508,15242307,60.2,14762024,58.3,4284472,16.9,,,,
07/27/2022 12:00:00 AM,Age_unknown,,2187,,,,0,,,,0,
07/27/2022 12:00:00 AM,Ages_18-49,139763772,96494634,69,94782247,67.8,38156311,27.3,,,,
07/20/2022 12:00:00 AM,Age_unknown,,2187,,,,0,,,,0,
07/20/2022 12:00:00 AM,Ages_50-64,63659835,52253852,82.1,51282155,80.6,28844182,45.3,27073683,42.5,6143461,9.7
07/20/2022 12:00:00 AM,Ages_18-49,139763772,96418712,69,94537952,67.6,38026174,27.2,,,,
07/20/2022 12:00:00 AM,Ages_5+,312265041,222866449,71.4,216858000,69.4,107348428,34.4,,,,
07/20/2022 12:00:00 AM,Ages_5-11,28744900,8672809,30.2,7469279,26,795754,2.8,,,,
07/20/2022 12:00:00 AM,Ages_65+,54792026,50299383,91.8,48880490,89.2,35452139,64.7,33302293,60.8,12951405,23.6
07/20/2022 12:00:00 AM,Ages_12-17,25304508,15221693,60.2,14688124,58,4230179,16.7,,,,
07/13/2022 12:00:00 AM,Ages_50-64,63659835,52200601,82,51210322,80.4,28745507,45.2,26931419,42.3,5794622,9.1
07/13/2022 12:00:00 AM,Ages_65+,54792026,50240887,91.7,48843812,89.1,35354551,64.5,33200963,60.6,12451941,22.7
07/13/2022 12:00:00 AM,Ages_5+,312265041,222602438,71.3,216118602,69.2,106884362,34.2,,,,
07/13/2022 12:00:00 AM,Ages_12-17,25304508,15199317,60.1,14600104,57.7,4175363,16.5,,,,
07/13/2022 12:00:00 AM,Ages_18-49,139763772,96331104,68.9,94238778,67.4,37888321,27.1,,,,
07/13/2022 12:00:00 AM,Ages_5-11,28744900,8630529,30,7225586,25.1,720620,2.5,,,,
07/13/2022 12:00:00 AM,Age_unknown,,2185,,,,0,,,,0,
07/06/2022 12:00:00 AM,Ages_50-64,63659835,52159477,81.9,51121422,80.3,28669071,45,26787907,42.1,5575245,8.8
07/06/2022 12:00:00 AM,Ages_65+,54792026,50196834,91.6,48800880,89.1,35283803,64.4,33103188,60.4,12137078,22.2
07/06/2022 12:00:00 AM,Ages_5-11,28744900,8593519,29.9,6900301,24,654215,2.3,,,,
07/06/2022 12:00:00 AM,Ages_5+,312265041,222376296,71.2,215196051,68.9,106496734,34.1,,,,
07/06/2022 12:00:00 AM,Ages_12-17,25304508,15178226,60,14492898,57.3,4127917,16.3,,,,
07/06/2022 12:00:00 AM,Ages_18-49,139763772,96248240,68.9,93880550,67.2,37761728,27,,,,
07/06/2022 12:00:00 AM,Age_unknown,,2184,,,,0,,,,0,
06/29/2022 12:00:00 AM,Ages_65+,54792026,50161805,91.5,48753854,89,35225333,64.3,32989550,60.2,11865708,21.7
06/29/2022 12:00:00 AM,Age_unknown,,2184,,,,92,,,,0,
06/29/2022 12:00:00 AM,Ages_5-11,28744900,8563758,29.8,6471653,22.5,626838,2.2,,,,
06/29/2022 12:00:00 AM,Ages_12-17,25304508,15159320,59.9,14359233,56.7,4152095,16.4,,,,
06/29/2022 12:00:00 AM,Ages_18-49,139763772,96182484,68.8,93476525,66.9,37660878,26.9,,,,
06/29/2022 12:00:00 AM,Ages_5+,312265041,222194717,71.2,214078130,68.6,106274771,34,,,,
06/29/2022 12:00:00 AM,Ages_50-64,63659835,52127350,81.9,51016865,80.1,28609627,44.9,26620546,41.8,5389833,8.5
06/22/2022 12:00:00 AM,Ages_5+,312265041,222050422,71.1,212670493,68.1,105058432,33.6,,,,
06/22/2022 12:00:00 AM,Ages_50-64,63659835,52104033,81.8,50945769,80,28384410,44.6,26306002,41.3,5124662,8.1
06/22/2022 12:00:00 AM,Ages_65+,54792026,50093805,91.4,48708479,88.9,35066892,64,32805960,59.9,11467561,20.9
06/22/2022 12:00:00 AM,Ages_18-49,139763772,96197613,68.8,93234945,66.7,37038497,26.5,,,,
06/22/2022 12:00:00 AM,Age_unknown,,2189,,,,91,,,,0,
06/22/2022 12:00:00 AM,Ages_5-11,28744900,8515333,29.6,5536911,19.3,497632,1.7,,,,
06/22/2022 12:00:00 AM,Ages_12-17,25304508,15139638,59.8,14244389,56.3,4071001,16.1,,,,
