Data as of,Year,HSA_NCI,Health.Service.Area.Description,Total Number of Deaths,Number of COVID19 Deaths,Footnote
03/08/2021,2020,383,"White, IL - Hamilton, IL",385,42,
03/08/2021,2020,384,"Saline, IL - Gallatin, IL",613,66,
03/08/2021,2020,385,"Wayne, IN - Fayette, IN",1577,191,
03/08/2021,2020,386,"Hancock, OH - Seneca, OH",1637,192,
03/08/2021,2020,387,"Walworth, WI - Jefferson, WI",2059,222,
03/08/2021,2020,388,"Licking (Newark), OH - Knox, OH",2721,245,
03/08/2021,2020,389,"Grant, IN - Miami, IN",2017,226,
03/08/2021,2020,390,"Hamilton, IN - Madison (Anderson), IN",4125,527,
03/08/2021,2020,391,"Juneau, WI - Adams, WI",605,39,
03/08/2021,2020,392,"Roscommon, MI - Otsego, MI",973,56,
03/08/2021,2020,394,"Dubois, IN",495,62,
03/08/2021,2020,395,"Winneshiek, IA",201,25,
03/08/2021,2020,396,"Rice, MN",593,57,
03/08/2021,2020,398,"Logan, OH",572,47,
03/08/2021,2020,399,"Jackson, WI",269,20,
03/08/2021,2020,400,"Portage, WI",624,51,
03/08/2021,2020,401,"Boone, IN",611,84,
03/08/2021,2020,402,"Montgomery, IN",482,64,
03/08/2021,2020,403,"Orleans (New Orleans), LA - Jefferson, LA",11469,1484,
03/08/2021,2020,404,"Miller, AR - Hempstead, AR",1751,213,
03/08/2021,2020,405,"Potter (Amarillo), TX - Randall, TX",4239,780,
03/08/2021,2020,406,"Lubbock (Lubbock), TX - Hockley, TX",4655,980,
03/08/2021,2020,407,"Baxter, AR - Marion, AR",1166,105,
03/08/2021,2020,408,"Harris (Houston), TX - Fort Bend, TX",44541,4820,
03/08/2021,2020,409,"Forrest, MS - Lamar, MS",2205,257,
03/08/2021,2020,410,"Bexar (San Antonio), TX - Guadalupe, TX",21063,2554,
03/08/2021,2020,411,"Hinds (Jackson), MS - Rankin, MS",7302,860,
03/08/2021,2020,412,"Choctaw, AL - Sumter, AL",379,60,
03/08/2021,2020,413,"Jefferson (Beaumont), TX - Orange, TX",5821,521,
03/08/2021,2020,414,"Tulsa (Tulsa), OK - Rogers, OK",10340,1091,
03/08/2021,2020,415,"El Paso (El Paso), TX - Hudspeth, TX",8448,2156,
03/08/2021,2020,416,"Caddo (Shreveport), LA - Bossier, LA",6933,953,
03/08/2021,2020,417,"Oklahoma (Oklahoma City), OK - Canadian, OK",11949,1340,
03/08/2021,2020,418,"Lee, MS - Monroe, MS",2728,362,
03/08/2021,2020,419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA",8699,1046,
03/08/2021,2020,420,"Wichita (Wichita Falls), TX - Montague, TX",2745,373,
03/08/2021,2020,421,"Sebastian (Fort Smith), AR - Crawford, AR",3134,261,
03/08/2021,2020,422,"Coahoma, MS - Tallahatchie, MS",729,108,
03/08/2021,2020,423,"Tangipahoa, LA - St. Helena, LA",1669,178,
03/08/2021,2020,424,"Lafayette (Lafayette), LA - Iberia, LA",5457,564,
03/08/2021,2020,425,"Travis (Austin), TX - Williamson, TX",12682,1037,
03/08/2021,2020,426,"Tom Green (San Angelo), TX - Runnels, TX",2067,295,
03/08/2021,2020,427,"Hidalgo (Mcallen), TX - Starr, TX",7975,2310,
03/08/2021,2020,428,"Taylor (Abilene), TX - Jones, TX",2732,368,
03/08/2021,2020,429,"Garfield (Enid), OK - Kingfisher, OK",1561,232,
03/08/2021,2020,430,"Cleveland (Norman), OK - McClain, OK",3506,418,
03/08/2021,2020,431,"Madison, LA",135,19,
03/08/2021,2020,432,"Pulaski (Little Rock), AR - Faulkner, AR",8745,757,
03/08/2021,2020,433,"Victoria (Victoria), TX - Calhoun, TX",2280,307,
03/08/2021,2020,434,"Tarrant (Fort Worth), TX - Johnson, TX",20664,2266,
03/08/2021,2020,435,"Concordia, LA - Tensas, LA",382,54,
03/08/2021,2020,436,"Bryan, OK - Atoka, OK",831,94,
03/08/2021,2020,437,"Nueces (Corpus Christi), TX - San Patricio, TX",6233,874,
03/08/2021,2020,438,"Choctaw, OK",266,23,
03/08/2021,2020,439,"Lincoln, LA - Union, LA",1408,213,
03/08/2021,2020,440,"Beckham, OK - Roger Mills, OK",356,62,
03/08/2021,2020,441,"Smith (Tyler), TX - Henderson, TX",5639,577,
03/08/2021,2020,442,"Pope, AR - Yell, AR",1057,110,
03/08/2021,2020,443,"Ouachita (Monroe), LA - Morehouse, LA",3537,530,
03/08/2021,2020,444,"Ector (Odessa), TX - Reeves, TX",2049,355,
03/08/2021,2020,445,"Muskogee, OK - Wagoner, OK",3071,323,
03/08/2021,2020,446,"Washington (Fayetteville), AR - Benton, AR",4425,537,
03/08/2021,2020,447,"Nacogdoches, TX - Shelby, TX",1463,205,
03/08/2021,2020,448,"Garland, AR - Hot Spring, AR",2739,269,
03/08/2021,2020,449,"Angelina, TX - Walker, TX",2925,356,
03/08/2021,2020,450,"Rapides (Alexandria), LA - Avoyelles, LA",3484,438,
03/08/2021,2020,451,"Montgomery, KS - Chautauqua, KS",568,52,
03/08/2021,2020,452,"Bell (Killeen), TX - Coryell, TX",4025,298,
03/08/2021,2020,453,"Dallas (Dallas), TX - Collin, TX",31247,3537,
03/08/2021,2020,454,"Gregg (Longview), TX - Rusk, TX",3266,367,
03/08/2021,2020,455,"Jones, MS - Wayne, MS",1606,175,
03/08/2021,2020,456,"Harrison (Biloxi), MS - Hancock, MS",3311,247,
03/08/2021,2020,457,"White, AR - Cleburne, AR",1536,103,
03/08/2021,2020,458,"Wilbarger, TX - Hardeman, TX",314,55,
03/08/2021,2020,459,"Lafayette, MS - Calhoun, MS",984,123,
03/08/2021,2020,460,"Gray, TX - Wheeler, TX",408,56,
03/08/2021,2020,461,"Lamar, AL",248,50,
03/08/2021,2020,462,"McLennan (Waco), TX - Hill, TX",4261,472,
03/08/2021,2020,463,"St. Landry, LA - Evangeline, LA",1747,249,
03/08/2021,2020,464,"Brazos (Bryan), TX - Washington, TX",2668,318,
03/08/2021,2020,465,"Titus, TX - Morris, TX",900,116,
03/08/2021,2020,466,"Pittsburg, OK - Pushmataha, OK",1007,88,
03/08/2021,2020,467,"Terrebonne (Houma), LA - Lafourche, LA",2603,304,
03/08/2021,2020,468,"Brown, TX - Coleman, TX",999,135,
03/08/2021,2020,469,"Woodward, OK - Dewey, OK",435,57,
03/08/2021,2020,470,"Calcasieu (Lake Charles), LA - Vernon, LA",4144,465,
03/08/2021,2020,471,"Jackson (Pascagoula), MS - George, MS",2004,207,
03/08/2021,2020,472,"Payne, OK - Pawnee, OK",1081,102,
03/08/2021,2020,473,"Jefferson (Pine Bluff), AR - Drew, AR",1979,255,
03/08/2021,2020,474,"Carter, OK - Marshall, OK",1229,115,
03/08/2021,2020,475,"Custer, OK - Washita, OK",567,107,
03/08/2021,2020,476,"Grady, OK - Caddo, OK",1176,190,
03/08/2021,2020,477,"Pike, MS - Marion, MS",1487,200,
03/08/2021,2020,478,"Pontotoc, OK - Seminole, OK",1250,127,
03/08/2021,2020,479,"Palo Pinto, TX - Jack, TX",559,67,
03/08/2021,2020,480,"Ashley, AR - Chicot, AR",477,52,
03/08/2021,2020,481,"Hale, TX - Castro, TX",650,188,
03/08/2021,2020,482,"Pontotoc, MS - Union, MS",1107,136,
03/08/2021,2020,483,"Jackson, OK - Greer, OK",453,85,
03/08/2021,2020,484,"Oktibbeha, MS - Winston, MS",1052,164,
03/08/2021,2020,485,"Harrison (Marshall), TX - Cass, TX",1510,176,
03/08/2021,2020,486,"Union, AR - Columbia, AR",1073,125,
03/08/2021,2020,487,"Bolivar, MS - Leflore, MS",1665,288,
03/08/2021,2020,488,"Washington, MS - Sharkey, MS",881,126,
03/08/2021,2020,489,"Navarro, TX - Freestone, TX",915,115,
03/08/2021,2020,490,"Fayette, TX - Colorado, TX",683,58,
03/08/2021,2020,491,"Deaf Smith, TX - Parmer, TX",328,102,
03/08/2021,2020,492,"Midland (Midland), TX - Pecos, TX",1633,264,
03/08/2021,2020,493,"Comanche (Lawton), OK - Kiowa, OK",1661,165,
03/08/2021,2020,494,"Boone, AR - Carroll, AR",1204,141,
03/08/2021,2020,495,"Denton (Denton), TX - Wise, TX",6127,557,
03/08/2021,2020,496,"Ouachita, AR - Dallas, AR",519,53,
03/08/2021,2020,497,"Stephens, OK - Jefferson, OK",727,71,
03/08/2021,2020,498,"Alcorn, MS - Tishomingo, MS",907,91,
03/08/2021,2020,499,"Crittenden (West Memphis), AR - St. Francis, AR",1383,177,
03/08/2021,2020,500,"St. Tammany (Slidell), LA - Washington, LA",3505,357,
03/08/2021,2020,501,"Leon, TX - Madison, TX",419,45,
03/08/2021,2020,502,"Grenada, MS - Montgomery, MS",735,112,
03/08/2021,2020,503,"Nolan, TX - Mitchell, TX",390,65,
03/08/2021,2020,504,"Jefferson Davis, MS - Lawrence, MS",378,41,
03/08/2021,2020,505,"Brazoria (Lake Jackson), TX - Wharton, TX",3883,409,
03/08/2021,2020,506,"Kerr, TX - Gillespie, TX",1569,115,
03/08/2021,2020,507,"Erath, TX - Comanche, TX",602,80,
03/08/2021,2020,508,"Lea, NM",709,134,
03/08/2021,2020,509,"Anderson, TX - Cherokee, TX",1769,222,
03/08/2021,2020,510,"Hays (San Marcos), TX - Caldwell, TX",1829,162,
03/08/2021,2020,511,"Lincoln, MS - Copiah, MS",961,134,
03/08/2021,2020,512,"Childress, TX - Hall, TX",174,28,
03/08/2021,2020,513,"Bee, TX - Karnes, TX",509,78,
03/08/2021,2020,514,"Terry, TX - Yoakum, TX",271,70,
03/08/2021,2020,515,"Kay (Ponca City), OK - Osage, OK",1223,156,
03/08/2021,2020,516,"Maverick, TX - Val Verde, TX",1297,393,
03/08/2021,2020,517,"Comal, TX",1614,148,
03/08/2021,2020,518,"Howard, TX - Glasscock, TX",473,89,
03/08/2021,2020,519,"Scurry, TX",223,38,
03/08/2021,2020,520,"Cameron (Brownsville), TX - Willacy, TX",4491,1203,
03/08/2021,2020,521,"Jackson, AR",293,29,
03/08/2021,2020,522,"Johnson, AR",316,22,
03/08/2021,2020,523,"Claiborne, LA",236,46,
03/08/2021,2020,524,"Collingsworth, TX",48,,Data suppressed (counts from 1-9)
03/08/2021,2020,525,"Wilkinson, MS",145,19,
03/08/2021,2020,526,"Brewster, TX - Presidio, TX",194,34,
03/08/2021,2020,527,"Arkansas, AR - Monroe, AR",447,37,
03/08/2021,2020,528,"St. Mary, LA",686,95,
03/08/2021,2020,529,"Okmulgee, OK - Okfuskee, OK",822,98,
03/08/2021,2020,530,"Winn, LA",226,33,
03/08/2021,2020,531,"Dimmit, TX",106,13,
03/08/2021,2020,532,"Galveston, TX",3344,238,
03/08/2021,2020,533,"Yazoo, MS",358,47,
03/08/2021,2020,534,"Polk, AR",307,56,
03/08/2021,2020,535,"Beaver, OK",62,10,
03/08/2021,2020,536,"Uvalde, TX",328,43,
03/08/2021,2020,537,"Phillips, AR",307,38,
03/08/2021,2020,538,"Webb (Laredo), TX - Zapata, TX",2356,561,
03/08/2021,2020,539,"Cherokee, KS",322,31,
03/08/2021,2020,540,"Hennepin (Minneapolis), MN - Anoka, MN",17440,2195,
03/08/2021,2020,541,"St. Louis, MO - St. Louis City, MO",21551,2371,
03/08/2021,2020,542,"Douglas (Omaha), NE - Sarpy, NE",7880,846,
03/08/2021,2020,543,"Burleigh (Bismarck), ND - Morton, ND",1805,324,
03/08/2021,2020,544,"Lyon, IA",128,39,
03/08/2021,2020,545,"Linn (Cedar Rapids), IA - Johnson, IA",4527,560,
03/08/2021,2020,546,"Polk (Des Moines), IA - Dallas, IA",7221,807,
03/08/2021,2020,547,"Clay, MN - Becker, MN",1263,161,
03/08/2021,2020,548,"Jackson (Kansas City), MO - Clay, MO",13495,1121,
03/08/2021,2020,549,"Greene (Springfield), MO - Christian, MO",8708,954,
03/08/2021,2020,550,"Ward, ND - Bottineau, ND",1079,242,
03/08/2021,2020,551,"Ford, KS - Gray, KS",499,74,
03/08/2021,2020,552,"Howard, IA",124,20,
03/08/2021,2020,553,"Boone (Columbia), MO - Randolph, MO",2536,208,
03/08/2021,2020,554,"Shawnee (Topeka), KS - Riley, KS",3962,442,
03/08/2021,2020,555,"Hall, NE - Hamilton, NE",962,175,
03/08/2021,2020,556,"Cerro Gordo, IA - Kossuth, IA",1365,202,
03/08/2021,2020,557,"Black Hawk (Waterloo), IA - Bremer, IA",2711,411,
03/08/2021,2020,558,"Pennington (Rapid City), SD - Meade, SD",1823,218,
03/08/2021,2020,559,"Holt, NE - Brown, NE",212,26,
03/08/2021,2020,560,"Woodbury (Sioux City), IA - Plymouth, IA",2231,374,
03/08/2021,2020,561,"Lancaster (Lincoln), NE - Gage, NE",3375,243,
03/08/2021,2020,562,"Baca, CO",77,,Data suppressed (counts from 1-9)
03/08/2021,2020,563,"Union, IL - Alexander, IL",475,46,
03/08/2021,2020,564,"Adams, NE - Clay, NE",620,87,
03/08/2021,2020,565,"Ellis, KS - Rooks, KS",548,111,
03/08/2021,2020,566,"Adair, MO - Sullivan, MO",564,42,
03/08/2021,2020,567,"Lyon, KS - Coffey, KS",598,94,
03/08/2021,2020,568,"Codington, SD - Grant, SD",666,143,
03/08/2021,2020,569,"Saline, KS - Ellsworth, KS",889,114,
03/08/2021,2020,570,"Buffalo, NE - Dawson, NE",956,123,
03/08/2021,2020,571,"Craighead, AR - Greene, AR",3005,364,
03/08/2021,2020,572,"Brown, SD - Spink, SD",845,147,
03/08/2021,2020,573,"Blue Earth, MN - Nicollet, MN",1158,98,
03/08/2021,2020,574,"Independence, AR - Sharp, AR",1495,194,
03/08/2021,2020,575,"Finney, KS - Scott, KS",502,105,
03/08/2021,2020,576,"Sedgwick (Wichita), KS - Butler, KS",7900,755,
03/08/2021,2020,577,"Madison, NE - Wayne, NE",702,98,
03/08/2021,2020,578,"Cedar, NE - Knox, NE",235,35,
03/08/2021,2020,579,"Williams, ND - McKenzie, ND",378,49,
03/08/2021,2020,580,"Scotts Bluff, NE - Box Butte, NE",800,131,
03/08/2021,2020,581,"Cole, MO - Callaway, MO",2868,340,
03/08/2021,2020,582,"Otter Tail, MN - Grant, MN",879,66,
03/08/2021,2020,583,"Barton, KS - Pawnee, KS",617,75,
03/08/2021,2020,584,"Polk, MN",422,63,
03/08/2021,2020,585,"Webster, IA - Humboldt, IA",793,118,
03/08/2021,2020,586,"Lawrence, SD",294,44,
03/08/2021,2020,587,"Seward, KS - Morton, KS",205,48,
03/08/2021,2020,588,"Stearns (St. Cloud), MN - Benton, MN",2766,389,
03/08/2021,2020,589,"Wapello, IA - Mahaska, IA",1393,227,
03/08/2021,2020,590,"Big Stone, MN - Traverse, MN",140,11,
03/08/2021,2020,591,"Doniphan, KS",102,10,
03/08/2021,2020,592,"Kandiyohi, MN - Chippewa, MN",1005,155,
03/08/2021,2020,593,"Lincoln, NE - Keith, NE",614,82,
03/08/2021,2020,594,"Custer, NE - Valley, NE",257,27,
03/08/2021,2020,595,"Boyd, NE",38,,Data suppressed (counts from 1-9)
03/08/2021,2020,596,"Pottawattamie (Council Bluffs), IA - Harrison, IA",2104,287,
03/08/2021,2020,597,"Beltrami, MN - Clearwater, MN",661,60,
03/08/2021,2020,598,"Reno, KS - Rice, KS",1062,128,
03/08/2021,2020,599,"St. Charles (St. Charles), MO - Lincoln, MO",4715,509,
03/08/2021,2020,600,"Beadle, SD - Hand, SD",328,62,
03/08/2021,2020,601,"Labette, KS - Neosho, KS",733,59,
03/08/2021,2020,602,"Brown, MN - Renville, MN",723,96,
03/08/2021,2020,603,"Isanti (Cambridge), MN - Mille Lacs, MN",947,109,
03/08/2021,2020,604,"Pennington, MN - Marshall, MN",366,59,
03/08/2021,2020,605,"Stark, ND - Dunn, ND",357,57,
03/08/2021,2020,606,"Story, IA - Boone, IA",1552,150,
03/08/2021,2020,607,"Henry, MO - Bates, MO",750,68,
03/08/2021,2020,608,"Douglas, MN - Pope, MN",741,73,
03/08/2021,2020,609,"Lyon, MN - Lincoln, MN",355,36,
03/08/2021,2020,610,"Brookings, SD - Kingsbury, SD",317,45,
03/08/2021,2020,611,"York, NE - Polk, NE",262,28,
03/08/2021,2020,612,"Crow Wing, MN - Cass, MN",1863,195,
03/08/2021,2020,613,"Decatur, KS - Sheridan, KS",96,18,
03/08/2021,2020,614,"Mississippi, AR",668,93,
03/08/2021,2020,615,"Davison, SD - Charles Mix, SD",693,120,
03/08/2021,2020,616,"Phelps, NE - Furnas, NE",227,22,
03/08/2021,2020,617,"Guthrie, IA - Greene, IA",263,33,
03/08/2021,2020,618,"Pratt, KS - Kiowa, KS",209,40,
03/08/2021,2020,619,"Nobles, MN - Cottonwood, MN",600,87,
03/08/2021,2020,621,"Wyandotte (Kansas City), KS - Leavenworth, KS",2512,289,
03/08/2021,2020,622,"Mitchell, KS - Osborne, KS",195,14,
03/08/2021,2020,623,"Dawes, NE - Sheridan, NE",211,35,
03/08/2021,2020,624,"Johnson (Overland Park), KS - Douglas, KS",6356,626,
03/08/2021,2020,625,"Clay, IA - Dickinson, IA",599,64,
03/08/2021,2020,626,"Emmet, IA",157,34,
03/08/2021,2020,627,"Pulaski, MO - Phelps, MO",1355,144,
03/08/2021,2020,628,"Richardson, NE - Pawnee, NE",203,24,
03/08/2021,2020,629,"Hughes, SD - Stanley, SD",298,51,
03/08/2021,2020,630,"Crawford, KS - Bourbon, KS",921,78,
03/08/2021,2020,631,"Roseau, MN - Lake of the Woods, MN",249,19,
03/08/2021,2020,632,"Stutsman, ND - Wells, ND",411,93,
03/08/2021,2020,633,"Carroll, IA - Sac, IA",575,66,
03/08/2021,2020,634,"Floyd, IA - Chickasaw, IA",411,50,
03/08/2021,2020,635,"Marshall, KS - Washington, KS",221,34,
03/08/2021,2020,636,"Cheyenne, KS - Rawlins, KS",94,19,
03/08/2021,2020,637,"Phillips, KS - Norton, KS",216,41,
03/08/2021,2020,638,"Rolette, ND - Pierce, ND",282,58,
03/08/2021,2020,639,"Vernon, MO - Cedar, MO",468,54,
03/08/2021,2020,640,"Bowman, ND - Hettinger, ND",130,13,
03/08/2021,2020,641,"Scott (Davenport), IA - Muscatine, IA",2406,274,
03/08/2021,2020,642,"Cloud, KS - Republic, KS",231,33,
03/08/2021,2020,643,"Wichita, KS - Greeley, KS",67,,Data suppressed (counts from 1-9)
03/08/2021,2020,644,"Page, IA - Fremont, IA",391,32,
03/08/2021,2020,645,"Lucas, IA - Wayne, IA",229,34,
03/08/2021,2020,646,"Freeborn, MN - Faribault, MN",599,32,
03/08/2021,2020,647,"Montgomery, IA - Adams, IA",233,34,
03/08/2021,2020,648,"Dewey, SD - Walworth, SD",303,53,
03/08/2021,2020,649,"Appanoose, IA - Davis, IA",311,63,
03/08/2021,2020,650,"Geary, KS - Dickinson, KS",581,68,
03/08/2021,2020,651,"Platte, NE - Boone, NE",487,73,
03/08/2021,2020,652,"OBrien, IA - Osceola, IA",345,68,
03/08/2021,2020,654,"Chase, NE - Dundy, NE",90,11,
03/08/2021,2020,655,"Ramsey, ND - Benson, ND",316,48,
03/08/2021,2020,656,"Pettis, MO - Saline, MO",1605,182,
03/08/2021,2020,657,"Livingston, MO - Carroll, MO",336,65,
03/08/2021,2020,658,"Fillmore, NE - Thayer, NE",156,23,
03/08/2021,2020,659,"Thomas, KS - Sherman, KS",170,23,
03/08/2021,2020,660,"Otoe, NE - Johnson, NE",233,14,
03/08/2021,2020,661,"Kingman, KS - Harper, KS",352,50,
03/08/2021,2020,662,"Clay, KS",116,17,
03/08/2021,2020,663,"Madison, MO",210,22,
03/08/2021,2020,664,"Stevens, KS",57,,Data suppressed (counts from 1-9)
03/08/2021,2020,665,"Mitchell, IA",157,38,
03/08/2021,2020,666,"Audrain, MO - Montgomery, MO",709,80,
03/08/2021,2020,667,"Russell, KS",148,20,
03/08/2021,2020,668,"Cherry, NE",80,12,
03/08/2021,2020,669,"Barber, KS",79,,Data suppressed (counts from 1-9)
03/08/2021,2020,670,"Grant, ND",41,,Data suppressed (counts from 1-9)
03/08/2021,2020,671,"Atchison, KS",175,,Data suppressed (counts from 1-9)
03/08/2021,2020,672,"Sioux, IA",319,66,
03/08/2021,2020,673,"Linn, MO",194,15,
03/08/2021,2020,674,"McPherson, KS",431,49,
03/08/2021,2020,675,"Wilson, KS",124,10,
03/08/2021,2020,676,"Taney, MO",713,75,
03/08/2021,2020,678,"Atchison, MO - Holt, MO",167,30,
03/08/2021,2020,679,"Marshall, IA - Tama, IA",824,123,
03/08/2021,2020,680,"Dickey, ND - LaMoure, ND",150,52,
03/08/2021,2020,681,"Crawford, IA",197,25,
03/08/2021,2020,682,"Ness, KS",62,15,
03/08/2021,2020,683,"Grundy, MO - Mercer, MO",222,46,
03/08/2021,2020,684,"McIntosh, ND - Logan, ND",91,14,
03/08/2021,2020,685,"Camden, MO",644,75,
03/08/2021,2020,686,"Poweshiek, IA",235,27,
03/08/2021,2020,687,"Nemaha, NE",99,15,
03/08/2021,2020,688,"Denver (Denver), CO - Jefferson, CO",22151,2604,
03/08/2021,2020,689,"Multnomah (Portland), OR - Washington, OR",14949,719,
03/08/2021,2020,690,"Sutter (Yuba City), CA - Yuba, CA",1795,112,
03/08/2021,2020,691,"Yellowstone (Billings), MT - Big Horn, MT",2581,334,
03/08/2021,2020,692,"Cascade (Great Falls), MT - Glacier, MT",1553,215,
03/08/2021,2020,693,"Bernalillo (Albuquerque), NM - Sandoval, NM",10088,974,
03/08/2021,2020,694,"Nez Perce, ID - Idaho, ID",930,74,
03/08/2021,2020,695,"Twin Falls, ID - Jerome, ID",1423,160,
03/08/2021,2020,696,"Bannock, ID - Bingham, ID",1529,133,
03/08/2021,2020,697,"Butte (Chico), CA - Tehama, CA",3412,220,
03/08/2021,2020,698,"Spokane (Spokane), WA - Stevens, WA",6343,405,
03/08/2021,2020,699,"Maricopa (Phoenix), AZ - Pinal, AZ",51101,5862,
03/08/2021,2020,700,"Pima (Tucson), AZ - Cochise, AZ",14840,1615,
03/08/2021,2020,701,"Alpine, CA",21,0,
03/08/2021,2020,702,"Benton (Kennewick), WA - Franklin, WA",2312,240,
03/08/2021,2020,703,"Utah (Provo), UT - Sanpete, UT",3822,291,
03/08/2021,2020,704,"Pueblo (Pueblo), CO - Las Animas, CO",2659,321,
03/08/2021,2020,705,"Marion (Salem), OR - Yamhill, OR",5004,274,
03/08/2021,2020,707,"Clark (Las Vegas), NV - Nye, NV",22168,2660,
03/08/2021,2020,708,"Salt Lake (Salt Lake City), UT - Tooele, UT",9114,715,
03/08/2021,2020,709,"Sacramento (Sacramento), CA - Placer, CA",20295,1423,
03/08/2021,2020,710,"Shasta (Redding), CA - Trinity, CA",2734,116,
03/08/2021,2020,711,"Mesa, CO - Garfield, CO",2482,202,
03/08/2021,2020,712,"Hill, MT - Blaine, MT",383,76,
03/08/2021,2020,713,"Missoula, MT - Ravalli, MT",2206,149,
03/08/2021,2020,714,"Custer, MT - Fallon, MT",253,28,
03/08/2021,2020,715,"Franklin, ID - Bear Lake, ID",181,11,
03/08/2021,2020,716,"Ada (Boise City), ID - Canyon, ID",6540,655,
03/08/2021,2020,717,"Umatilla, OR - Morrow, OR",942,75,
03/08/2021,2020,718,"Fresno (Fresno), CA - Kings, CA",11140,1318,
03/08/2021,2020,719,"Deschutes, OR - Crook, OR",2269,55,
03/08/2021,2020,720,"Elko, NV - Lander, NV",484,49,
03/08/2021,2020,721,"Lewis and Clark, MT - Jefferson, MT",920,63,
03/08/2021,2020,722,"Bonneville, ID - Madison, ID",1759,174,
03/08/2021,2020,723,"Los Angeles (Los Angeles), CA",81354,11425,
03/08/2021,2020,724,"Santa Fe (Santa Fe), NM - Rio Arriba, NM",2490,184,
03/08/2021,2020,725,"Curry, NM - Roosevelt, NM",858,107,
03/08/2021,2020,726,"Natrona (Casper), WY - Converse, WY",1068,121,
03/08/2021,2020,727,"Linn, OR - Benton, OR",2109,53,
03/08/2021,2020,728,"Flathead, MT - Lincoln, MT",1427,90,
03/08/2021,2020,729,"Payette, ID - Washington, ID",474,44,
03/08/2021,2020,730,"Cassia, ID - Minidoka, ID",436,45,
03/08/2021,2020,731,"Alamosa, CO - Rio Grande, CO",534,47,
03/08/2021,2020,732,"Dona Ana (Las Cruces), NM - Luna, NM",2942,437,
03/08/2021,2020,733,"Sheridan, MT - Daniels, MT",66,,Data suppressed (counts from 1-9)
03/08/2021,2020,734,"Kootenai, ID - Bonner, ID",2589,192,
03/08/2021,2020,735,"Routt, CO - Moffat, CO",293,42,
03/08/2021,2020,736,"King (Seattle), WA - Snohomish, WA",25388,1598,
03/08/2021,2020,737,"Stanislaus (Modesto), CA - Merced, CA",8595,1016,
03/08/2021,2020,738,"Del Norte, CA",336,0,
03/08/2021,2020,739,"Yakima (Yakima), WA - Kittitas, WA",2892,357,
03/08/2021,2020,740,"Navajo, AZ",1735,390,
03/08/2021,2020,741,"Cheyenne, NE - Kimball, NE",215,25,
03/08/2021,2020,742,"Silver Bow, MT - Deer Lodge, MT",737,77,
03/08/2021,2020,743,"Klamath, OR - Lake, OR",1033,28,
03/08/2021,2020,744,"Davis, UT - Weber (Ogden), UT",4885,272,
03/08/2021,2020,745,"Otero, CO - Prowers, CO",650,91,
03/08/2021,2020,746,"Solano (Vallejo), CA - Napa, CA",5869,289,
03/08/2021,2020,747,"Grant, WA - Chelan, WA",2410,187,
03/08/2021,2020,748,"Wasco, OR - Hood River, OR",570,45,
03/08/2021,2020,749,"Park, WY - Big Horn, WY",495,41,
03/08/2021,2020,750,"San Joaquin (Stockton), CA - Calaveras, CA",8092,903,
03/08/2021,2020,751,"Santa Clara (San Jose), CA - Monterey, CA",14886,1164,
03/08/2021,2020,752,"Siskiyou, CA",636,17,
03/08/2021,2020,753,"Nevada, CA - Sierra, CA",1213,70,
03/08/2021,2020,754,"El Paso (Colorado Springs), CO - Teller, CO",6566,621,
03/08/2021,2020,755,"Iron, UT - Beaver, UT",454,22,
03/08/2021,2020,756,"Park, MT - Sweet Grass, MT",245,13,
03/08/2021,2020,757,"San Francisco (San Francisco), CA - San Mateo, CA",11373,528,
03/08/2021,2020,758,"Thurston (Olympia), WA - Grays Harbor, WA",4239,109,
03/08/2021,2020,759,"Union, OR - Baker, OR",613,19,
03/08/2021,2020,760,"Weld, CO - Morgan, CO",2783,399,
03/08/2021,2020,761,"Montrose, CO - Delta, CO",1089,70,
03/08/2021,2020,763,"Logan, CO - Phillips, CO",433,71,
03/08/2021,2020,764,"Marin, CA",2119,130,
03/08/2021,2020,765,"Apache, AZ",1149,307,
03/08/2021,2020,766,"Alameda (Oakland), CA - Contra Costa, CA",20024,1162,
03/08/2021,2020,767,"Richland, MT - Dawson, MT",284,42,
03/08/2021,2020,768,"San Bernardino, CA - Riverside (Riverside), CA",40969,5629,
03/08/2021,2020,769,"Otero, NM - Lincoln, NM",985,65,
03/08/2021,2020,770,"Sheridan, WY - Johnson, WY",445,28,
03/08/2021,2020,771,"Jackson, CO",16,,Data suppressed (counts from 1-9)
03/08/2021,2020,772,"Chaves, NM - Eddy, NM",1470,207,
03/08/2021,2020,773,"Gallatin and Yellowstone National Park, MT - Madison, MT",733,52,
03/08/2021,2020,774,"San Diego (San Diego), CA - Imperial, CA",26633,2409,
03/08/2021,2020,775,"Teton, WY - Lincoln, WY",345,22,
03/08/2021,2020,777,"Fremont, WY - Washakie, WY",770,94,
03/08/2021,2020,778,"Wheatland, MT - Meagher, MT",53,13,
03/08/2021,2020,779,"Roosevelt, MT - Valley, MT",297,64,
03/08/2021,2020,780,"Lassen, CA - Plumas, CA",556,25,
03/08/2021,2020,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",6007,309,
03/08/2021,2020,782,"Lane (Eugene), OR - Douglas, OR",5731,117,
03/08/2021,2020,783,"Lincoln, OR - Tillamook, OR",1027,18,
